bitcoin;34598,00
bitcoin-cash;220,33
zcash;28,95
ethereum;1923,48
litecoin;69,09
monero;158,75
dash;31,42
cardano;0,35
ripple;0,61
neo;11,53
eos;0,69
stellar;0,12
crypterium;0,04
polkadot;5,32
solana;54,26
dydx;2,92
matic-network;0,82
algorand;0,13
cosmos;9,79
